"Permanent and non permanent resident population by institutional units, place of birth and citizenship"

"Year" "Canton (-) / District (>>) / Commune (......)" "Population type" "Place of birth" "Citizenship - Total" "Switzerland" "Albania" "Andorra" "Belgium" "Bulgaria" "Denmark" "Germany" "Finland" "France" "Greece" "United Kingdom" "Ireland" "Iceland" "Italy" "Liechtenstein" "Luxembourg" "Malta" "Monaco" "Netherlands" "Norway" "Austria" "Poland" "Portugal" "Romania" "San Marino" "Sweden" "Spain" "Turkey" "Hungary" "Vatican City" "Cyprus" "Slovakia" "Czech Republic" "Serbia" "Croatia" "Slovenia" "Bosnia and Herzegovina" "Montenegro" "Macedonia" "Kosovo" "Estonia" "Latvia" "Lithuania" "Moldova" "Russia" "Ukraine" "Belarus" "Equatorial Guinea" "Ethiopia" "Djibouti" "Algeria" "Angola" "Botswana" "Burundi" "Benin" "Côte d'Ivoire" "Gabon" "Gambia" "Ghana" "Guinea-Bissau" "Guinea" "Cameroon" "Cape Verde" "Kenya" "Comoros" "Congo (Brazzaville)" "Congo (Kinshasa)" "Lesotho" "Liberia" "Libya" "Madagascar" "Malawi" "Mali" "Morocco" "Mauritania" "Mauritius" "Mozambique" "Niger" "Nigeria" "Burkina Faso" "Zimbabwe" "Rwanda" "Zambia" "São Tomé and Príncipe" "Senegal" "Seychelles" "Sierra Leone" "Somalia" "South Africa" "Sudan" "Namibia" "Swaziland" "Tanzania" "Togo" "Chad" "Tunisia" "Uganda" "Egypt" "Central African Republic" "Eritrea" "South Sudan" "Western Sahara" "Argentina" "Bahamas" "Barbados" "Bolivia" "Brazil" "Chile" "Costa Rica" "Dominican Republic" "Ecuador" "El Salvador" "Guatemala" "Guyana" "Haiti" "Belize" "Honduras" "Jamaica" "Canada" "Colombia" "Cuba" "Mexico" "Nicaragua" "Panama" "Paraguay" "Peru" "Suriname" "Trinidad and Tobago" "Uruguay" "Venezuela" "United States" "Dominica" "Grenada" "Antigua and Barbuda" "Saint Lucia" "Saint Vincent and the Grenadines" "Saint Kitts and Nevis" "Afghanistan" "Bahrain" "Bhutan" "Brunei" "Myanmar" "Sri Lanka" "Taiwan (Chinese Taipei)" "China" "India" "Indonesia" "Iraq" "Iran" "Israel" "Japan" "Yemen" "Jordan" "Cambodia" "Qatar" "Kuwait" "Laos" "Lebanon" "Malaysia" "Maldives" "Oman" "Mongolia" "Nepal" "North Korea" "United Arab Emirates" "Pakistan" "Philippines" "Saudi Arabia" "Singapore" "South Korea" "Syria" "Thailand" "Vietnam" "Bangladesh" "Timor-Leste" "Palestine" "Armenia" "Azerbaijan" "Georgia" "Kazakhstan" "Kyrgyzstan" "Tajikistan" "Turkmenistan" "Uzbekistan" "Australia" "Fiji" "Nauru" "Vanuatu" "New Zealand" "Papua New Guinea" "Tonga" "Samoa" "Solomon Islands" "Tuvalu" "Kiribati" "Marshall Islands" "Micronesia" "Palau" "Stateless" "Not attributable according to current borders" "No indication"
"2016" "......0001 Aeugst am Albis" "Permanent resident population" "Switzerland" 1572 1537 0 0 0 0 0 8 0 2 0 3 0 0 5 0 0 0 0 3 1 2 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2016" "......0001 Aeugst am Albis" "Permanent resident population" "Abroad" 405 181 0 0 0 1 0 76 0 7 0 21 2 1 16 0 1 0 0 15 1 6 2 3 0 0 1 13 0 6 0 0 6 1 1 1 0 2 0 0 2 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 8 0 0 0 0 0 0 2 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"2016" "......0002 Affoltern am Albis" "Permanent resident population" "Place of birth - Total" 11900 8586 2 0 6 7 1 563 0 15 9 45 14 0 550 1 0 0 0 36 1 71 69 114 18 0 4 78 46 63 0 0 39 12 361 73 15 100 9 130 311 7 4 10 1 17 5 0 0 8 0 5 0 0 0 0 2 0 0 5 0 1 2 0 3 0 0 7 0 0 0 0 0 0 7 0 0 0 0 1 0 0 0 0 0 2 0 0 4 1 2 0 0 0 3 0 4 0 5 0 108 0 0 1 0 0 4 54 1 0 14 2 0 0 0 0 0 0 1 7 8 1 9 0 0 1 0 0 0 0 1 10 0 0 0 0 0 0 57 0 0 0 0 36 2 9 10 1 5 0 0 2 0 0 16 0 0 0 6 5 0 0 0 0 0 0 8 10 0 1 0 24 14 1 5 0 0 0 0 0 1 0 0 0 0 2 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 3
"2016" "......0002 Affoltern am Albis" "Permanent resident population" "Switzerland" 7963 7328 0 0 3 0 0 64 0 2 2 6 4 0 180 1 0 0 0 5 0 10 5 21 1 0 0 10 15 4 0 0 6 0 91 20 0 20 3 27 69 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 14 0 0 0 0 0 0 6 0 0 4 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 4 0 0 0 0 8 0 0 1 0 0 0 0 0 0 0 6 0 0 0 2 2 0 0 0 0 0 0 0 2 0 0 0 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"2016" "......0002 Affoltern am Albis" "Permanent resident population" "Abroad" 3937 1258 2 0 3 7 1 499 0 13 7 39 10 0 370 0 0 0 0 31 1 61 64 93 17 0 4 68 31 59 0 0 33 12 270 53 15 80 6 103 242 7 4 10 1 17 5 0 0 8 0 4 0 0 0 0 2 0 0 2 0 1 2 0 3 0 0 4 0 0 0 0 0 0 6 0 0 0 0 1 0 0 0 0 0 2 0 0 4 1 2 0 0 0 2 0 4 0 5 0 94 0 0 1 0 0 4 48 1 0 10 2 0 0 0 0 0 0 1 6 8 1 9 0 0 1 0 0 0 0 1 8 0 0 0 0 0 0 53 0 0 0 0 28 2 9 9 1 5 0 0 2 0 0 10 0 0 0 4 3 0 0 0 0 0 0 8 8 0 1 0 24 13 1 2 0 0 0 0 0 1 0 0 0 0 2 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 3
"2016" "......0003 Bonstetten" "Permanent resident population" "Place of birth - Total" 5435 4666 0 0 5 6 3 247 4 11 13 19 3 0 101 1 1 0 0 29 0 25 23 14 5 0 11 12 8 20 0 0 8 14 2 18 1 8 4 16 17 0 0 3 2 8 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 9 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 9 3 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 1 0 0 0 1 8 0 0 0 0 0 0 15 0 0 0 0 0 0 4 1 2 0 3 0 2 0 0 2 0 0 0 0 2 0 0 0 0 0 0 1 1 0 0 2 11 3 1 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2016" "......0003 Bonstetten" "Permanent resident population" "Switzerland" 4308 4161 0 0 0 0 0 38 0 0 0 0 0 0 41 1 0 0 0 9 0 9 6 3 0 0 3 1 4 5 0 0 0 1 0 2 0 3 0 8 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2016" "......0003 Bonstetten" "Permanent resident population" "Abroad" 1127 505 0 0 5 6 3 209 4 11 13 19 3 0 60 0 1 0 0 20 0 16 17 11 5 0 8 11 4 15 0 0 8 13 2 16 1 5 4 8 16 0 0 3 2 7 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 9 3 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 1 0 0 0 1 6 0 0 0 0 0 0 13 0 0 0 0 0 0 4 1 2 0 2 0 2 0 0 2 0 0 0 0 2 0 0 0 0 0 0 1 1 0 0 2 10 3 1 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2016" "......0004 Hausen am Albis" "Permanent resident population" "Place of birth - Total" 3571 3052 0 0 1 0 7 171 1 8 0 46 0 0 31 0 1 0 0 24 0 24 8 30 3 0 5 4 7 13 0 0 7 3 14 5 1 1 0 4 6 0 0 1 0 7 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 1 0 15 0 0 0 0 0 0 5 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 5 9 0 0 0 0 0 0 13 0 0 0 0 16 0 1 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2016" "......0004 Hausen am Albis" "Permanent resident population" "Switzerland" 2892 2807 0 0 0 0 1 28 0 0 0 3 0 0 13 0 0 0 0 6 0 6 1 7 0 0 3 1 2 2 0 0 1 0 1 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2016" "......0004 Hausen am Albis" "Permanent resident population" "Abroad" 679 245 0 0 1 0 6 143 1 8 0 43 0 0 18 0 1 0 0 18 0 18 7 23 3 0 2 3 5 11 0 0 6 3 13 2 1 1 0 3 6 0 0 1 0 7 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 1 0 13 0 0 0 0 0 0 5 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 5 9 0 0 0 0 0 0 13 0 0 0 0 12 0 1 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2016" "......0005 Hedingen" "Permanent resident population" "Place of birth - Total" 3687 3135 0 0 0 2 1 153 0 4 1 11 0 0 84 1 0 0 0 2 0 7 4 11 1 0 2 16 14 1 0 0 12 2 17 18 2 13 0 22 48 0 1 0 0 3 0 4 0 0 0 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 6 0 0 1 0 0 0 4 1 1 3 0 0 0 0 0 0 0 0 3 1 0 1 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 15 0 0 0 0 0 0 0 4 1 4 0 0 2 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 3 0 0 0 24 3 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
