"Permanent and non permanent resident population by canton, sex, residence permit, age class and citizenship"

"Year" "Canton" "Population type" "Residence permit" "Sex" "Age class" "Canada"
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "0-4 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "5-9 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "10-14 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "15-19 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "20-24 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "25-29 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "30-34 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "35-39 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "40-44 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "45-49 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "50-54 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "55-59 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "60-64 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "65-69 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "70-74 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "75-79 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "80-84 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "85-89 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "90-94 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "95-99 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Sex - Total" "100 years or older" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "Age class - Total" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "0-4 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "5-9 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "10-14 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "15-19 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "20-24 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "25-29 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "30-34 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "35-39 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "40-44 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "45-49 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "50-54 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "55-59 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "60-64 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "65-69 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "70-74 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "75-79 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "80-84 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "85-89 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "90-94 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "95-99 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Man" "100 years or older" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Woman" "Age class - Total" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Woman" "0-4 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Woman" "5-9 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Woman" "10-14 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Woman" "15-19 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Woman" "20-24 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Woman" "25-29 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Woman" "30-34 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Woman" "35-39 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Woman" "40-44 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Woman" "45-49 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Woman" "50-54 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Woman" "55-59 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Woman" "60-64 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Woman" "65-69 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Woman" "70-74 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Woman" "75-79 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Woman" "80-84 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Woman" "85-89 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Woman" "90-94 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Woman" "95-99 years" 0
"2016" "Switzerland" "Non permanent resident population" "Swiss" "Woman" "100 years or older" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Sex - Total" "Age class - Total" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Sex - Total" "0-4 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Sex - Total" "5-9 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Sex - Total" "10-14 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Sex - Total" "15-19 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Sex - Total" "20-24 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Sex - Total" "25-29 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Sex - Total" "30-34 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Sex - Total" "35-39 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Sex - Total" "40-44 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Sex - Total" "45-49 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Sex - Total" "50-54 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Sex - Total" "55-59 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Sex - Total" "60-64 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Sex - Total" "65-69 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Sex - Total" "70-74 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Sex - Total" "75-79 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Sex - Total" "80-84 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Sex - Total" "85-89 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Sex - Total" "90-94 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Sex - Total" "95-99 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Sex - Total" "100 years or older" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Man" "Age class - Total" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Man" "0-4 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Man" "5-9 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Man" "10-14 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Man" "15-19 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Man" "20-24 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Man" "25-29 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Man" "30-34 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Man" "35-39 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Man" "40-44 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Man" "45-49 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Man" "50-54 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Man" "55-59 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Man" "60-64 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Man" "65-69 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Man" "70-74 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Man" "75-79 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Man" "80-84 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Man" "85-89 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Man" "90-94 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Man" "95-99 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Man" "100 years or older" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Woman" "Age class - Total" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Woman" "0-4 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Woman" "5-9 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Woman" "10-14 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Woman" "15-19 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Woman" "20-24 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Woman" "25-29 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Woman" "30-34 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Woman" "35-39 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Woman" "40-44 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Woman" "45-49 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Woman" "50-54 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Woman" "55-59 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Woman" "60-64 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Woman" "65-69 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Woman" "70-74 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Woman" "75-79 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Woman" "80-84 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Woman" "85-89 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Woman" "90-94 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Woman" "95-99 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit (B)" "Woman" "100 years or older" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Sex - Total" "Age class - Total" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Sex - Total" "0-4 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Sex - Total" "5-9 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Sex - Total" "10-14 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Sex - Total" "15-19 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Sex - Total" "20-24 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Sex - Total" "25-29 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Sex - Total" "30-34 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Sex - Total" "35-39 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Sex - Total" "40-44 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Sex - Total" "45-49 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Sex - Total" "50-54 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Sex - Total" "55-59 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Sex - Total" "60-64 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Sex - Total" "65-69 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Sex - Total" "70-74 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Sex - Total" "75-79 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Sex - Total" "80-84 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Sex - Total" "85-89 years" 0
