"Permanent and non permanent resident population by institutional units, place of birth and citizenship"

"Year" "Canton (-) / District (>>) / Commune (......)" "Population type" "Citizenship - Total" "Switzerland" "Albania" "Andorra" "Belgium" "Bulgaria" "Denmark" "Germany" "Finland" "France" "Greece" "United Kingdom" "Ireland" "Iceland" "Italy" "Liechtenstein" "Luxembourg" "Malta" "Monaco" "Netherlands" "Norway" "Austria" "Poland" "Portugal" "Romania" "San Marino" "Sweden" "Spain" "Turkey" "Hungary" "Vatican City" "Cyprus" "Slovakia" "Czech Republic" "Serbia" "Croatia" "Slovenia" "Bosnia and Herzegovina" "Montenegro" "Macedonia" "Kosovo" "Estonia" "Latvia" "Lithuania" "Moldova" "Russia" "Ukraine" "Belarus" "Equatorial Guinea" "Ethiopia" "Djibouti" "Algeria" "Angola" "Botswana" "Burundi" "Benin" "Côte d'Ivoire" "Gabon" "Gambia" "Ghana" "Guinea-Bissau" "Guinea" "Cameroon" "Cape Verde" "Kenya" "Comoros" "Congo (Brazzaville)" "Congo (Kinshasa)" "Lesotho" "Liberia" "Libya" "Madagascar" "Malawi" "Mali" "Morocco" "Mauritania" "Mauritius" "Mozambique" "Niger" "Nigeria" "Burkina Faso" "Zimbabwe" "Rwanda" "Zambia" "São Tomé and Príncipe" "Senegal" "Seychelles" "Sierra Leone" "Somalia" "South Africa" "Sudan" "Namibia" "Swaziland" "Tanzania" "Togo" "Chad" "Tunisia" "Uganda" "Egypt" "Central African Republic" "Eritrea" "South Sudan" "Western Sahara" "Argentina" "Bahamas" "Barbados" "Bolivia" "Brazil" "Chile" "Costa Rica" "Dominican Republic" "Ecuador" "El Salvador" "Guatemala" "Guyana" "Haiti" "Belize" "Honduras" "Jamaica" "Canada" "Colombia" "Cuba" "Mexico" "Nicaragua" "Panama" "Paraguay" "Peru" "Suriname" "Trinidad and Tobago" "Uruguay" "Venezuela" "United States" "Dominica" "Grenada" "Antigua and Barbuda" "Saint Lucia" "Saint Vincent and the Grenadines" "Saint Kitts and Nevis" "Afghanistan" "Bahrain" "Bhutan" "Brunei" "Myanmar" "Sri Lanka" "Taiwan (Chinese Taipei)" "China" "India" "Indonesia" "Iraq" "Iran" "Israel" "Japan" "Yemen" "Jordan" "Cambodia" "Qatar" "Kuwait" "Laos" "Lebanon" "Malaysia" "Maldives" "Oman" "Mongolia" "Nepal" "North Korea" "United Arab Emirates" "Pakistan" "Philippines" "Saudi Arabia" "Singapore" "South Korea" "Syria" "Thailand" "Vietnam" "Bangladesh" "Timor-Leste" "Palestine" "Armenia" "Azerbaijan" "Georgia" "Kazakhstan" "Kyrgyzstan" "Tajikistan" "Turkmenistan" "Uzbekistan" "Australia" "Fiji" "Nauru" "Vanuatu" "New Zealand" "Papua New Guinea" "Tonga" "Samoa" "Solomon Islands" "Tuvalu" "Kiribati" "Marshall Islands" "Micronesia" "Palau" "Stateless" "Not attributable according to current borders" "No indication"
"2016" "......0008 Maschwanden" "Permanent resident population" 626 550 0 0 0 1 0 32 1 6 0 1 1 0 12 0 0 0 0 1 0 0 0 0 1 0 0 1 0 5 0 0 0 0 1 3 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2016" "......0009 Mettmenstetten" "Permanent resident population" 4861 4138 0 0 5 1 0 219 8 6 1 25 3 0 98 1 2 0 0 20 0 24 18 24 4 0 1 18 4 2 0 0 30 2 40 4 7 11 0 12 11 0 0 5 0 5 3 0 0 0 0 0 4 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 14 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 1 0 1 0 2 2 0 0 0 2 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 9 0 3 3 0 7 0 1 3 4 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 13 4 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1
"2016" "......0010 Obfelden" "Permanent resident population" 5131 4104 0 0 0 1 12 245 0 5 10 11 0 0 155 0 0 0 0 15 0 28 27 11 8 0 1 26 20 21 0 0 12 0 91 28 4 21 0 48 80 0 2 0 0 6 1 0 0 2 0 1 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 3 0 0 0 24 0 0 1 0 0 0 12 0 0 1 1 0 0 0 0 0 0 0 1 0 1 2 0 0 1 0 0 0 0 1 5 0 0 0 0 0 0 0 0 0 0 0 6 0 2 2 1 7 0 0 3 0 0 12 0 0 1 1 0 0 0 0 0 0 0 0 2 0 0 1 12 10 0 0 0 0 0 0 0 2 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
"2016" "......0011 Ottenbach" "Permanent resident population" 2591 2273 0 0 5 1 1 89 1 0 8 9 1 0 39 0 0 0 0 6 0 16 6 11 6 0 0 9 0 1 0 0 1 2 5 0 0 3 0 3 20 3 1 0 0 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 4 0 0 0 0 0 0 7 0 0 0 0 2 0 1 4 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 10 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2016" "......0012 Rifferswil" "Permanent resident population" 1078 982 0 0 0 0 0 58 0 0 0 9 0 0 4 0 0 0 0 1 0 6 0 1 0 0 2 1 1 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2016" "......0013 Stallikon" "Permanent resident population" 3646 2884 1 0 4 2 2 292 3 19 9 32 1 0 61 0 1 0 0 20 4 24 15 13 2 0 3 19 8 15 0 0 20 10 13 5 7 6 0 6 11 0 0 1 0 13 1 2 0 2 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 4 0 0 0 0 0 0 8 0 1 2 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 6 0 0 0 0 0 0 18 0 0 0 0 1 0 12 6 0 0 0 0 6 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 3 1 9 5 0 0 0 0 4 0 0 0 0 0 0 0 7 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 7
"2016" "......0014 Wettswil am Albis" "Permanent resident population" 5123 4303 0 0 1 4 4 265 1 12 6 34 6 2 78 2 0 0 0 9 1 32 16 20 6 0 7 24 2 8 0 0 12 2 6 9 2 6 0 16 19 1 8 4 0 9 3 6 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 1 0 0 8 7 0 0 0 0 0 0 1 0 0 0 5 0 0 0 0 0 0 8 1 0 1 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 7 0 0 0 0 10 0 0 0 0 0 0 10 0 0 0 1 15 0 11 14 1 9 7 0 4 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 1 27 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
"2016" ">> Bezirk Andelfingen" "Permanent resident population" 30981 26943 0 0 15 8 18 1530 23 43 9 92 4 0 445 4 3 0 0 79 3 129 69 270 24 0 18 78 44 48 0 0 75 20 79 53 10 23 1 134 134 1 5 22 2 27 15 1 0 8 0 3 0 0 0 0 0 0 1 3 0 0 2 0 6 0 0 0 0 0 0 2 0 0 1 0 1 0 0 5 1 0 0 0 0 1 0 0 4 1 0 2 0 0 0 0 2 0 2 0 42 0 0 0 0 0 0 28 2 0 7 1 0 0 0 0 0 1 0 4 3 3 3 0 0 3 1 0 0 0 1 25 0 0 0 0 0 0 59 0 0 0 0 21 1 21 8 0 20 4 1 7 0 1 1 0 0 0 4 1 0 0 0 0 0 0 0 9 0 0 2 81 45 5 0 0 0 0 0 2 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13
"2016" "......0021 Adlikon" "Permanent resident population" 666 601 0 0 0 0 0 24 0 0 0 4 0 0 3 0 0 0 0 7 0 2 1 3 0 0 0 3 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2016" "......0022 Benken (ZH)" "Permanent resident population" 857 757 0 0 0 0 0 43 0 1 0 5 0 0 8 0 0 0 0 3 0 2 5 12 2 0 0 1 6 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
